year;policía;doctor;abogado;periodista;pintor;músico;fotógrafo;doctora;profesora;taxista;cartero;albañil;bombero;fotógrafa;dependienta
1923;0,004407334303583151;0,0324172292104257;0,0025226569570285;0,001000297899216613;0,0017307161864924376;0,0004056790917924705;9,879353066415724e-05;0,00014054167780029405;0,00022780515272253458;3,7382089804590836e-07;8,373867461029607e-05;0,00014464439703130796;2,928465749261834e-05;0,0;1,4317513523971165e-06
1924;0,00432991910201963;0,0324763756777559;0,002486381708877161;0,0010814241120117782;0,0017967360690818168;0,00042076926547451876;9,844457622421032e-05;0,0001483869985869595;0,00021616623208891336;6,643024670032511e-07;7,79542338997479e-05;0,00014281795301940292;3,146079815711086e-05;0,0;1,5021631748014997e-06
1925;0,004207626625429839;0,03022339328059128;0,0025093260514300448;0,0011068399414528227;0,0019489464258575545;0,00046690664216190016;0,0001034974185846035;0,0001579959432872004;0,00020782551278638754;5,056085835722765e-07;6,38540675319226e-05;0,0001395803289077386;3,425800839197889e-05;1,8627740619844448e-07;1,5021631748014997e-06
1926;0,00423645339781485;0,029982987325638533;0,0024557631020018433;0,0010933413250313606;0,0019923926759344924;0,000496900059131024;0,00010336743230254797;0,0001581909308307721;0,00019824573850460832;5,056085835722765e-07;6,237624014764671e-05;0,00014427592499747073;3,460109517001391e-05;1,8627740619844448e-07;1,3636501769046357e-06
1927;0,004113299707699168;0,028614396537055393;0,0024021652539626564;0,0011203391685350133;0,0019992118853094454;0,0005216453895887493;0,00010428773375029517;0,00016278666440224958;0,0002010135127810437;5,617406984015361e-07;4,4886736613339705e-05;0,00014233093159938498;3,2954362438886164e-05;2,424095210277041e-07;1,2492858113079462e-06
1928;0,004087413357670552;0,02828602051262611;0,0024782036884321962;0,0011470069434186111;0,0020231536317234194;0,0005055935746765629;0,00010633301193203288;0,0001732260264881396;0,00023401846159945956;6,965337386231698e-07;4,32497866345979e-05;0,00014225954276168653;3,047506688907171e-05;9,163747348241356e-07;1,2915694735937677e-06
1929;0,0039919551844442526;0,027754281264995892;0,0024043035019920872;0,0011022851140296552;0,002068284421901418;0,0004860451131857449;0,00010358071774265097;0,00018336465278220464;0,00023208056226004762;6,965337386231698e-07;4,177818401071168e-05;0,00014642947689935681;2,769566732143046e-05;9,163747348241356e-07;1,3635806705991627e-06
1930;0,0038968133074896672;0,027437707259585817;0,002400053719091894;0,0011255302264804154;0,0020005911080391214;0,0004917688686743661;9,5170149247029e-05;0,00017642682256077284;0,00023088660035292766;5,47880388676195e-07;4,229363769679496e-05;0,0001485285679336812;2,8201757881366317e-05;9,163747348241356e-07;1,3583453282807665e-06
1931;0,0038611060257868045;0,026657734997570515;0,0023558598383845364;0,0011019705587906564;0,002050628648118748;0,0004900445251873212;0,00010220584515861577;0,0001708794798105373;0,00025592341086978977;3,807969368401538e-07;4,3724639096711015e-05;0,0001548570756832695;2,545580234222403e-05;9,163747348241356e-07;1,2748036023627459e-06
1932;0,0039002737009598476;0,025290990431260853;0,0023081868805872674;0,0011088801329606213;0,0019383779804879203;0,0004725201603962757;0,00010601739778134549;0,0001599971645711256;0,00025882803486508365;4,881537650293564e-07;4,61892475251651e-05;0,00015569893808528183;1,9965565099612703e-05;8,374541568148937e-07;1,4358388509906815e-06
1933;0,003951033016034801;0,025222419312090745;0,002392428619454482;0,001153647839860891;0,0018944527645154657;0,00048090616928675445;0,00010778916329659945;0,00016777904485414702;0,0002671471000732189;5,904463901933761e-07;4,9648244271338626e-05;0,00015435134953025096;2,171114691204171e-05;1,0931857197249428e-06;1,0203056431480815e-06
1934;0,003917804497177713;0,025565584447966624;0,0024944016851285206;0,0012028796455914354;0,0018817457982679897;0,0004669398517112963;0,00011110650299477648;0,00017783709803812338;0,00028286099872535227;5,343142753641164e-07;5,156940078774954e-05;0,0001573791694551931;2,299828310015073e-05;1,243223149823994e-06;9,458146139300943e-07
